# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.save.entities.ms,1760626440650000000,1760626500661000000,0
jps.library.entities.serializer.load.entities.ms,1760626440650000000,1760626500661000000,0
workspaceModel.load.cache.from.file.ms,1760626440650000000,1760626500661000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1760626440650000000,1760626500661000000,0
jps.global.initialize.library.bridges.after.loading.ms,1760626440650000000,1760626500661000000,4
jps.app.storage.content.writer.save.component.ms,1760626440650000000,1760626500661000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1760626440650000000,1760626500661000000,0
jps.global.handle.before.change.events.ms,1760626440650000000,1760626500661000000,0
jps.global.initialize.library.bridges.ms,1760626440650000000,1760626500661000000,0
workspaceModel.global.updates.count,1760626440650000000,1760626500661000000,0
workspaceModel.global.apply.state.to.project.ms,1760626440650000000,1760626500661000000,0
jps.global.get.library.ms,1760626440650000000,1760626500661000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1760626440650000000,1760626500661000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1760626440650000000,1760626500661000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1760626440650000000,1760626500661000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1760626440650000000,1760626500661000000,0
jps.global.get.library.by.name.ms,1760626440650000000,1760626500661000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1760626440650000000,1760626500661000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1760626440650000000,1760626500661000000,0
workspaceModel.global.updates.ms,1760626440650000000,1760626500661000000,0
jps.save.global.entities.ms,1760626440650000000,1760626500661000000,59
workspaceModel.save.cache.to.file.ms,1760626440650000000,1760626500661000000,0
jps.app.storage.content.reader.load.component.ms,1760626440650000000,1760626500661000000,1
workspaceModel.mutableEntityStorage.entities.ms,1760626440650000000,1760626500661000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1760626440650000000,1760626500661000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1760626440650000000,1760626500661000000,0
jps.global.get.libraries.ms,1760626440650000000,1760626500661000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1760626440650000000,1760626500661000000,0
